,size,Python,Spark
0,100000,6.909644842147827,8.374727249145508
1,200000,17.060078144073486,13.638727188110352
2,300000,26.789638996124268,19.68651008605957
3,400000,39.05842304229736,26.87423300743103
4,500000,65.98863911628723,39.432945013046265
5,600000,72.77660703659058,40.52991223335266
6,700000,91.84878206253052,49.83533692359924
7,800000,101.67041683197021,59.94204592704773
8,900000,117.06575226783752,62.67167782783508
9,1000000,135.83092784881592,73.41145396232605
