,size,Python,Muti,Spark
0,100000,15.6474130153656,9.263674020767212,14.593918800354004
1,200000,43.18331599235535,23.72401523590088,28.023107051849365
2,300000,68.37714004516602,32.374001026153564,40.02628302574158
3,400000,96.95279216766357,46.88915395736694,51.90873861312866
4,500000,139.3754620552063,65.45492386817932,72.98792791366577
5,600000,173.90257596969604,79.68216586112976,89.53564190864563
6,700000,206.4624798297882,100.65959787368774,131.69715094566345
7,800000,242.10874700546265,114.69857716560364,134.9673891067505
8,900000,284.3942537307739,126.24112105369568,172.42640900611877
9,1000000,320.3358461856842,142.93246817588806,179.48748898506165
